station,n,baseline_mae,ridge_mae,gain,alpha
37235,365,0.8843835616438357,0.6459045782390644,0.23847898340477125,0.26965560391183857
30710,365,1.2413698630136987,1.0635779587462693,0.1777919042674294,0.14322234618762245
26063,365,0.6131506849315069,0.48734964180687707,0.12580104312462986,0.20517149571264476
29570,365,1.4216438356164383,1.3231716775937719,0.0984721580226664,0.06926640523853005
30823,365,1.2115068493150685,1.125734745457952,0.08577210385711642,0.07079786953380257
29866,293,1.4860068259385668,1.4096395999755331,0.07636722596303369,0.05139089850061752
25563,365,2.4104109589041096,2.344811306236795,0.0655996526673146,0.027215132102261685
30393,364,1.2436813186813187,1.187139346555163,0.05654197212615575,0.04546339265279587
21946,365,1.5838356164383565,1.5283975627480255,0.055438053690330946,0.03500240373113785
25551,364,2.125824175824176,2.071143064318716,0.054681111505459956,0.025722311434462942
28138,306,1.8362745098039215,1.7926929491913013,0.043581560612620196,0.02373368490382947
30636,364,1.5796703296703296,1.5363874518521663,0.04328287781816331,0.027399943523150342
28722,365,0.8958904109589038,0.8538346584311453,0.042055752527758505,0.04694296535973046
24908,365,1.894246575342466,1.8543079728144776,0.03993860252798842,0.021084162456921858
29612,364,1.048901098901099,1.0119192603660134,0.03698183853508552,0.03525769834146446
25703,364,2.1123626373626374,2.076090721909163,0.036271915453474524,0.017171254031817827
31004,365,1.232054794520548,1.1966030475444185,0.03545174697612952,0.02877448887322053
31369,365,1.409041095890411,1.374272408312098,0.03476868757831286,0.024675424783364173
30965,365,1.5865753424657534,1.5518503874897263,0.03472495497602712,0.021886735565964256
31707,365,1.232602739726027,1.198844820216484,0.03375791950954299,0.027387509715454977
31416,365,1.692602739726028,1.658984265581488,0.03361847414454,0.019861999130393486
30521,365,1.4043835616438354,1.3714578989705644,0.03292566267327102,0.023444921724041987
29838,365,1.5197260273972604,1.4874645161597309,0.03226151123752952,0.021228504780418735
31873,365,1.3345205479452056,1.3029516572454902,0.03156889069971536,0.02365560481501972
30925,365,1.2112328767123288,1.1803019346650983,0.03093094204723057,0.025536742472832295
29698,365,1.4712328767123288,1.4417909477789193,0.029441928933409578,0.02001173940539012
31915,365,1.1893150684931508,1.1605889380372891,0.028726130455861698,0.02415350752450937
28900,365,0.6528767123287671,0.6250760854132577,0.02780062691550944,0.04258174076441858
24688,365,1.8846575342465757,1.8568981809196903,0.027759353326885394,0.014729123367223677
30673,365,1.5561643835616439,1.528561709256224,0.02760267430541985,0.01773763401668705
31594,365,1.4994520547945205,1.4724386291276,0.027013425666920554,0.018015531460672397
32098,365,1.5421917808219177,1.5155170840433965,0.02667469677852119,0.017296614539279154
31168,365,1.2580821917808218,1.2315233678940394,0.026558823886782434,0.021110563411749977
22837,365,1.1884931506849314,1.1635170057307513,0.0249761449541801,0.021014967515619497
30949,365,1.4032876712328768,1.378448084300727,0.024839586932149826,0.01770099420194199
34163,275,1.2272727272727275,1.2026570964608643,0.024615630811863243,0.020057180661518195
28434,364,1.2494505494505495,1.224928608248204,0.02452194120234541,0.019626179854119897
31909,365,1.2964383561643837,1.272235828821174,0.024202527343209823,0.01866847523303378
30372,365,1.6578082191780823,1.6342419677118212,0.023566251466261123,0.014215306205892099
25913,365,2.946849315068493,2.923441274480092,0.023408040588400958,0.007943412806588277
23884,365,1.4761643835616438,1.4527978983318282,0.02336648522981566,0.015829189140465324
37031,365,0.8082191780821918,0.7853241567374972,0.022895021344694566,0.028327738273944122
32061,364,1.2678571428571428,1.2467857062325622,0.021071436624580553,0.016619724661641
24343,363,1.3575757575757577,1.3365962104881282,0.020979547087629502,0.015453684238655658
24966,339,1.8380530973451328,1.8197512851931015,0.018301812152031305,0.009957172716319391
31510,365,1.0249315068493152,1.0069196802933764,0.018011826555938804,0.017573688032391507
28440,365,0.8567123287671234,0.8394726677933733,0.01723966097375018,0.02012304526836845
31329,365,1.0575342465753426,1.0403222656981332,0.01721198087720932,0.01627557777249068
29231,365,1.4005479452054792,1.3833677175230585,0.017180227682420668,0.012266790109709595
36034,365,1.4816438356164385,1.4652806116542862,0.016363223962152285,0.011043965876822454
30777,365,1.286301369863014,1.2712715004410609,0.015029869421953057,0.011684563022391618
30054,365,1.0723287671232877,1.057711114128813,0.014617652994474817,0.013631689685700837
34391,365,0.9169863013698628,0.9027471456670877,0.01423915570277512,0.015528209834218463
28224,321,1.0457943925233646,1.0326700475617545,0.01312434496161008,0.012549641741664687
27595,365,0.8517808219178081,0.8389678969339062,0.012812924983901963,0.01504251405314962
34172,364,1.0324175824175823,1.0198178524562882,0.012599729961294104,0.012204102463839952
29263,364,1.2057692307692307,1.1933256976191025,0.01244353315012825,0.010319995595002695
31960,365,1.3572602739726027,1.3468742888788048,0.010385985093797956,0.0076521690739528745
24959,365,1.2219178082191782,1.2115829848632955,0.01033482335588265,0.008457871132056429
31088,365,0.9997260273972604,0.9896820275085979,0.010043999888662447,0.010046752423573014
31253,337,1.1477744807121661,1.1385108835616524,0.009263597150513725,0.00807092099204531
23933,365,0.9767123287671233,0.9675115346787134,0.009200794088409903,0.009420167860503826
23955,365,1.3512328767123285,1.3425227051795576,0.008710171532770872,0.006446092071089556
29282,365,1.2978082191780822,1.2892700279309968,0.008538191247085436,0.006578931402124096
24817,365,1.7164383561643837,1.7096702585138364,0.006768097650547311,0.0039431055745407315
34824,365,0.7293150684931509,0.7229158098733126,0.006399258619838255,0.008774340331483705
